id,cameraUsage,alertType,observationDateTime,junctionName,vehicleType,location.type,location.coordinates
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:33+05:30,Jayanagar-4thMain,Motorbike,Point,"[77.580123, 12.930848]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:34+05:30,Jayanagar4thblockBusstop,Car,Point,"[77.586068, 12.928639]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:34+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:40+05:30,TeachersJn,Auto,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:16:40+05:30,chikkapetTPS-Jn,Motorbike,Point,"[77.57168, 12.960574]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:41+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:42+05:30,TeachersJn,Auto,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:43+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:47+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:48+05:30,80feetoldmadradroad,Motorbike,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,OVER_SPEED,2024-04-02 09:16:51+05:30,CMHHospitalJn,Motorbike,Point,"[77.646621, 12.978562]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,OVER_SPEED,2024-04-02 09:16:51+05:30,CMHHospitalJn,Motorbike,Point,"[77.646621, 12.978562]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:52+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,OVER_SPEED,2024-04-02 09:16:52+05:30,CMHHospitalJn,Motorbike,Point,"[77.646621, 12.978562]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:53+05:30,TeachersJn,Motorbike,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:53+05:30,TeachersJn,Auto,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:55+05:30,TCPalayaJN,Car,Point,"[77.704469, 13.017111]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:16:56+05:30,TeachersJn,Lorry,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:16:59+05:30,ShivanandacircleJn,Motorbike,Point,"[77.579713, 12.986486]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:17:00+05:30,80feetoldmadradroad,Car,Point,"[77.645087, 12.985709]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:17:01+05:30,ShivanandacircleJn,Motorbike,Point,"[77.579713, 12.986486]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,VEHICLE_WRONG_WAY,2024-04-02 09:17:01+05:30,TeachersJn,Motorbike,Point,"[77.580053, 12.943633]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:17:02+05:30,SampigeRoad,Motorbike,Point,"[77.571138, 13.008491]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,STOP_LINE_VIOLATION,2024-04-02 09:17:06+05:30,VanivilasJN,Motorbike,Point,"[77.576809, 12.948272]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,RED_LIGHT_VIOLATION_DETECTION,2024-04-02 09:17:06+05:30,sadashivanagar-jn,Car,Point,"[77.57275, 13.01463]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:17:07+05:30,SampigeRoad,Motorbike,Point,"[77.571138, 13.008491]"
5b778007-797e-4313-b34c-c7c4812365bb,ANPR,LICENCE_PLATE_RECOGNITION,2024-04-02 09:17:10+05:30,PromenadeWheelresroadJn,Motorbike,Point,"[77.61448, 12.991661]"
